32'h3cbd2e88,32'h40ce5ce0,32'h40d6c928, 32'h40c80baa,32'h40dd1a5e, 32'h40bd8450,32'h40e7a1b8,// invsqrt(0.0231) = 6.5804
32'h3cef7087,32'h40b76e5f,32'h40beeb0b, 32'h40b1d0df,32'h40c4888b, 32'h40a87509,32'h40cde461,// invsqrt(0.0292) = 5.8492
32'h3eaa157b,32'h3fd9a3ee,32'h3fe2860c, 32'h3fd2fa57,32'h3fe92fa3, 32'h3fc7dfb0,32'h3ff44a4a,// invsqrt(0.3322) = 1.7350
32'h3f9e0c0c,32'h3f61c6a9,32'h3f6afdcb, 32'h3f5add51,32'h3f71e723, 32'h3f4f5867,32'h3f7d6c0d,// invsqrt(1.2347) = 0.8999
32'h40bcdb0e,32'h3ece8a76,32'h3ed6f89a, 32'h3ec837db,32'h3edd4b35, 32'h3ebdae2e,32'h3ee7d4e2,// invsqrt(5.9017) = 0.4116
32'h3ffd9b19,32'h3f323bfe,32'h3f39825c, 32'h3f2cc738,32'h3f3ef722, 32'h3f23af42,32'h3f480f18,// invsqrt(1.9813) = 0.7104
32'h3f94afed,32'h3f68c61c,32'h3f72465c, 32'h3f61a5ec,32'h3f79668c, 32'h3f55c59c,32'h3f82a36e,// invsqrt(1.1616) = 0.9278
32'h4096376c,32'h3ee79601,32'h3ef109d7, 32'h3ee07f20,32'h3ef820b8, 32'h3ed4ae54,32'h3f01f8c2,// invsqrt(4.6943) = 0.4615
32'h3ebfdd23,32'h3fccea54,32'h3fd5477c, 32'h3fc6a476,32'h3fdb8d5a, 32'h3fbc3004,32'h3fe601cc,// invsqrt(0.3747) = 1.6336
32'h3efa274f,32'h3fb375c3,32'h3fbac8f0, 32'h3fadf762,32'h3fc04752, 32'h3fa4cf6b,32'h3fc96f49,// invsqrt(0.4886) = 1.4306
32'h3f8c03cc,32'h3f6fdfdc,32'h3f79aa4e, 32'h3f688807,32'h3f808111, 32'h3f5c4af9,32'h3f869f98,// invsqrt(1.0939) = 0.9561
32'h3e379e52,32'h40141d57,32'h401a28fc, 32'h400f949a,32'h401eb1b8, 32'h4008060b,32'h40264047,// invsqrt(0.1793) = 2.3615
32'h3ec591df,32'h3fc9ef42,32'h3fd22d44, 32'h3fc3c0c0,32'h3fd85bc6, 32'h3fb9733c,32'h3fe2a94a,// invsqrt(0.3859) = 1.6098
32'h40346829,32'h3f156d59,32'h3f1b86b5, 32'h3f10da53,32'h3f2019bb, 32'h3f093aa0,32'h3f27b96e,// invsqrt(2.8189) = 0.5956
32'h3f62b649,32'h3f854be7,32'h3f8abcb7, 32'h3f81374b,32'h3f8ed153, 32'h3f74d48e,32'h3f959e57,// invsqrt(0.8856) = 1.0626
32'h40d47ea9,32'h3ec2b6c1,32'h3ecaa951, 32'h3ebcc0d5,32'h3ed09f3d, 32'h3eb2d1a2,32'h3eda8e70,// invsqrt(6.6405) = 0.3881
32'h40861c35,32'h3ef51925,32'h3eff1a2b, 32'h3eed9860,32'h3f034d78, 32'h3ee11717,32'h3f098e1c,// invsqrt(4.1909) = 0.4885
32'h41b30914,32'h3e542135,32'h3e5cc9bf, 32'h3e4da2ce,32'h3e634826, 32'h3e42d021,32'h3e6e1ad3,// invsqrt(22.3794) = 0.2114
32'h3dce0c24,32'h4045bc9d,32'h404dcec3, 32'h403faf01,32'h4053dc5f, 32'h40359852,32'h405df30e,// invsqrt(0.1006) = 3.1527
32'h3f52195c,32'h3f8a775d,32'h3f901e31, 32'h3f863a3d,32'h3f945b51, 32'h3f7e5366,32'h3f9b6bdb,// invsqrt(0.8207) = 1.1038
32'h3fff8413,32'h3f319121,32'h3f38d086, 32'h3f2c2196,32'h3f3e4012, 32'h3f231258,32'h3f474f50,// invsqrt(1.9962) = 0.7078
32'h3fe4e75a,32'h3f3b9ae7,32'h3f43432f, 32'h3f35dcb1,32'h3f490165, 32'h3f2c4a57,32'h3f5293bf,// invsqrt(1.7883) = 0.7478
32'h3beaf434,32'h41392c82,32'h4140bb62, 32'h41338159,32'h4146668b, 32'h412a0ec0,32'h414fd924,// invsqrt(0.0072) = 11.8096
32'h40013394,32'h3f30927b,32'h3f37c77b, 32'h3f2b2abb,32'h3f3d2f3b, 32'h3f22287c,32'h3f46317b,// invsqrt(2.0188) = 0.7038
32'h3f6e0e15,32'h3f821501,32'h3f87643b, 32'h3f7c332c,32'h3f8b5fa6, 32'h3f6eed1c,32'h3f9202ae,// invsqrt(0.9299) = 1.0370
32'h3fc5cb41,32'h3f49d1f5,32'h3f520ec5, 32'h3f43a458,32'h3f583c62, 32'h3f395854,32'h3f628866,// invsqrt(1.5453) = 0.8044
32'h40a67503,32'h3edbffa3,32'h3ee4fa66, 32'h3ed54392,32'h3eebb678, 32'h3eca0a1e,32'h3ef6efec,// invsqrt(5.2018) = 0.4385
32'h3eb9e021,32'h3fd030a6,32'h3fd8b006, 32'h3fc9d11e,32'h3fdf0f8e, 32'h3fbf31e7,32'h3fe9aec5,// invsqrt(0.3630) = 1.6597
32'h403d957d,32'h3f11c403,32'h3f17b71d, 32'h3f0d4daf,32'h3f1c2d71, 32'h3f05ddce,32'h3f239d52,// invsqrt(2.9622) = 0.5810
32'h3fa24911,32'h3f5eceea,32'h3f67e708, 32'h3f57fcd3,32'h3f6eb91f, 32'h3f4c9ead,32'h3f7a1745,// invsqrt(1.2679) = 0.8881
32'h3d934b6a,32'h4069df26,32'h40736adf, 32'h4062b65c,32'h407a93aa, 32'h4056c7b6,32'h40834128,// invsqrt(0.0719) = 3.7288
32'h3f30d3f5,32'h3f96ee86,32'h3f9d179c, 32'h3f924fb7,32'h3fa1b66b, 32'h3f8a9c5c,32'h3fa969c6,// invsqrt(0.6907) = 1.2032
32'h407a0321,32'h3efdddd3,32'h3f041d3c, 32'h3ef61857,32'h3f07fffa, 32'h3ee92489,32'h3f0e79e2,// invsqrt(3.9064) = 0.5060
32'h3e7c5ddf,32'h3ffcadf4,32'h40037f19, 32'h3ff4f1c4,32'h40075d30, 32'h3fe80d77,32'h400dcf57,// invsqrt(0.2465) = 2.0143
32'h4085197d,32'h3ef606e7,32'h3f0008d1, 32'h3eee7edb,32'h3f03ccd7, 32'h3ee1f171,32'h3f0a138c,// invsqrt(4.1594) = 0.4903
32'h3f921f41,32'h3f6acee0,32'h3f746462, 32'h3f639ebf,32'h3f7b9483, 32'h3f57a3de,32'h3f83c7b2,// invsqrt(1.1416) = 0.9359
32'h422cbc89,32'h3e18b573,32'h3e1ef119, 32'h3e1408b6,32'h3e239dd6, 32'h3e0c3e25,32'h3e2b6867,// invsqrt(43.1841) = 0.1522
32'h3f8c1f78,32'h3f6fc82c,32'h3f7991a6, 32'h3f687111,32'h3f807461, 32'h3f5c3538,32'h3f86924d,// invsqrt(1.0947) = 0.9558
32'h3f56d88d,32'h3f88ed96,32'h3f8e8458, 32'h3f84bc84,32'h3f92b56a, 32'h3f7b8023,32'h3f99b1dc,// invsqrt(0.8392) = 1.0916
32'h40ca3130,32'h3ec79cf0,32'h3ecfc2b0, 32'h3ec1809f,32'h3ed5df01, 32'h3eb7516e,32'h3ee00e32,// invsqrt(6.3185) = 0.3978
32'h400d1ffd,32'h3f28f2cb,32'h3f2fd822, 32'h3f23c6cb,32'h3f350423, 32'h3f1b281e,32'h3f3da2d0,// invsqrt(2.2051) = 0.6734
32'h4053716b,32'h3f0a0687,32'h3f0fa8c1, 32'h3f05ccdc,32'h3f13e26c, 32'h3efd8427,32'h3f1aed34,// invsqrt(3.3038) = 0.5502
32'h422a1e41,32'h3e19e125,32'h3e202907, 32'h3e152b3b,32'h3e24def1, 32'h3e0d5161,32'h3e2cb8cb,// invsqrt(42.5295) = 0.1533
32'h3f24a3a3,32'h3f9c6b41,32'h3fa2cdad, 32'h3f97a171,32'h3fa7977d, 32'h3f8fa66b,32'h3faf9283,// invsqrt(0.6431) = 1.2470
32'h3fca133c,32'h3f47abba,32'h3f4fd216, 32'h3f418ef6,32'h3f55eeda, 32'h3f375f04,32'h3f601ecc,// invsqrt(1.5787) = 0.7959
32'h40aa6c86,32'h3ed96c52,32'h3ee24c2c, 32'h3ed2c46f,32'h3ee8f40f, 32'h3ec7ac9f,32'h3ef40bdf,// invsqrt(5.3257) = 0.4333
32'h3f0d8353,32'h3fa8b775,32'h3faf9a5f, 32'h3fa38d45,32'h3fb4c48f, 32'h3f9af19f,32'h3fbd6035,// invsqrt(0.5528) = 1.3450
32'h4036e312,32'h3f146916,32'h3f1a77d4, 32'h3f0fde09,32'h3f1f02e1, 32'h3f084b9c,32'h3f26954e,// invsqrt(2.8576) = 0.5916
32'h3e38c11e,32'h4013a898,32'h4019af7a, 32'h400f236f,32'h401e34a3, 32'h40079ad5,32'h4025bd3d,// invsqrt(0.1804) = 2.3543
32'h3e7c27b5,32'h3ffcc916,32'h40038d37, 32'h3ff50c12,32'h40076bb9, 32'h3fe82662,32'h400dde91,// invsqrt(0.2462) = 2.0152
32'h3e553e90,32'h400970f8,32'h400f0d18, 32'h40053be1,32'h4013422f, 32'h3ffc7175,32'h401a4556,// invsqrt(0.2082) = 2.1913
32'h3eece1cf,32'h3fb86b2f,32'h3fbff22c, 32'h3fb2c5f2,32'h3fc5976a, 32'h3fa95d36,32'h3fcf0026,// invsqrt(0.4627) = 1.4702
32'h3fc9c509,32'h3f47d268,32'h3f4ffa58, 32'h3f41b475,32'h3f56184b, 32'h3f37828a,32'h3f604a36,// invsqrt(1.5763) = 0.7965
32'h3f85ab17,32'h3f7580c4,32'h3f7f8606, 32'h3f6dfcd3,32'h3f8384fb, 32'h3f617641,32'h3f89c844,// invsqrt(1.0443) = 0.9786
32'h3ecc94c6,32'h3fc671b1,32'h3fce8b3b, 32'h3fc05e8a,32'h3fd49e62, 32'h3fb63e9d,32'h3fdebe4f,// invsqrt(0.3996) = 1.5820
32'h3fbd2874,32'h3f4e6031,32'h3f56cc9b, 32'h3f480ee1,32'h3f5d1deb, 32'h3f3d875c,32'h3f67a570,// invsqrt(1.4778) = 0.8226
32'h41111000,32'h3ea6a3c3,32'h3ead70f9, 32'h3ea189d9,32'h3eb28ae3, 32'h3e990955,32'h3ebb0b67,// invsqrt(9.0664) = 0.3321
32'h3e8e1ca9,32'h3fee1916,32'h3ff7d0f7, 32'h3fe6cf2c,32'h3fff1ae0, 32'h3fdaa952,32'h4005a05d,// invsqrt(0.2776) = 1.8981
32'h40c4d748,32'h3eca4ee1,32'h3ed290cb, 32'h3ec41d72,32'h3ed8c23a, 32'h3eb9cb0d,32'h3ee3149f,// invsqrt(6.1513) = 0.4032
32'h3f8423a6,32'h3f76eb5a,32'h3f807fb4, 32'h3f6f5c4f,32'h3f844739, 32'h3f62c33e,32'h3f8a93c2,// invsqrt(1.0323) = 0.9842
32'h3f47ce40,32'h3f8dfcf8,32'h3f93c89a, 32'h3f89a43f,32'h3f982153, 32'h3f8265b5,32'h3f9f5fdd,// invsqrt(0.7805) = 1.1319
32'h3e657297,32'h40047fdf,32'h4009e85c, 32'h40007183,32'h400df6b9, 32'h3ff35dd0,32'h4014b954,// invsqrt(0.2241) = 2.1126
32'h4083e488,32'h3ef72668,32'h3f009e6f, 32'h3eef958e,32'h3f0466dc, 32'h3ee2f979,32'h3f0ab4e6,// invsqrt(4.1216) = 0.4926
32'h40166a81,32'h3f23a5b8,32'h3f2a53ab, 32'h3f1ea343,32'h3f2f5621, 32'h3f1649d3,32'h3f37af91,// invsqrt(2.3503) = 0.6523
32'h3f946fb0,32'h3f68f875,32'h3f727ac3, 32'h3f61d6bb,32'h3f799c7d, 32'h3f55f3d9,32'h3f82bfaf,// invsqrt(1.1597) = 0.9286
32'h3e18fa39,32'h40224583,32'h4028e516, 32'h401d4dd6,32'h402ddcc4, 32'h4015065f,32'h4036243b,// invsqrt(0.1494) = 2.5872
32'h3e03910e,32'h402efa57,32'h40361eae, 32'h40299f15,32'h403b79ef, 32'h4020b1a8,32'h4044675c,// invsqrt(0.1285) = 2.7898
32'h3f19fcd0,32'h3fa1bd0a,32'h3fa8570a, 32'h3f9cc98a,32'h3fad4a8a, 32'h3f948909,32'h3fb58b0b,// invsqrt(0.6015) = 1.2894
32'h4061b114,32'h3f0598f4,32'h3f0b0ce9, 32'h3f0181fc,32'h3f0f23e0, 32'h3ef56213,32'h3f15f4d3,// invsqrt(3.5264) = 0.5325
32'h3fe62075,32'h3f3b1b1b,32'h3f42be2b, 32'h3f3560ce,32'h3f487878, 32'h3f2bd4f9,32'h3f52044d,// invsqrt(1.7979) = 0.7458
32'h3e9a239c,32'h3fe49ec6,32'h3fedf3a0, 32'h3fdd9f24,32'h3ff4f342, 32'h3fd1f514,32'h40004ea9,// invsqrt(0.3011) = 1.8225
32'h3f0ba1a4,32'h3fa9d97e,32'h3fb0c83f, 32'h3fa4a66c,32'h3fb5fb50, 32'h3f9bfbfb,32'h3fbea5c1,// invsqrt(0.5454) = 1.3540
32'h3dff9b6c,32'h40318905,32'h4038c815, 32'h402c19b9,32'h403e3761, 32'h40230ae5,32'h40474635,// invsqrt(0.1248) = 2.8306
32'h409ca81f,32'h3ee2c694,32'h3eec0828, 32'h3edbd566,32'h3ef2f956, 32'h3ed0436e,32'h3efe8b4e,// invsqrt(4.8955) = 0.4520
32'h41560279,32'h3e893201,32'h3e8ecb8f, 32'h3e84fed8,32'h3e92feb8, 32'h3e7bfdce,32'h3e99fea9,// invsqrt(13.3756) = 0.2734
32'h4133480c,32'h3e95e53a,32'h3e9c037c, 32'h3e914e8a,32'h3ea09a2c, 32'h3e89a8b8,32'h3ea83ffe,// invsqrt(11.2051) = 0.2987
32'h40905e62,32'h3eec3acf,32'h3ef5df2b, 32'h3ee4ff8a,32'h3efd1a70, 32'h3ed8f217,32'h3f0493f2,// invsqrt(4.5115) = 0.4708
32'h40447f65,32'h3f0f2da9,32'h3f1505ba, 32'h3f0acb9b,32'h3f1967c7, 32'h3f037d86,32'h3f20b5dc,// invsqrt(3.0703) = 0.5707
32'h40ebb3b5,32'h3eb8e139,32'h3ec06d07, 32'h3eb3385e,32'h3ec615e2, 32'h3ea9c99d,32'h3ecf84a3,// invsqrt(7.3657) = 0.3685
32'h3f4e1b78,32'h3f8bccfb,32'h3f9181c1, 32'h3f878566,32'h3f95c956, 32'h3f80636e,32'h3f9ceb4e,// invsqrt(0.8051) = 1.1145
32'h3ff186b4,32'h3f36a317,32'h3f3e1775, 32'h3f310bcf,32'h3f43aebd, 32'h3f27ba59,32'h3f4d0033,// invsqrt(1.8869) = 0.7280
32'h3f12819e,32'h3fa5d109,32'h3fac95a6, 32'h3fa0bd93,32'h3fb1a91b, 32'h3f9847ce,32'h3fba1ee0,// invsqrt(0.5723) = 1.3219
32'h40c57aab,32'h3ec9fb1f,32'h3ed2399d, 32'h3ec3cc40,32'h3ed8687c, 32'h3eb97e21,32'h3ee2b69b,// invsqrt(6.1712) = 0.4025
32'h3f166ae0,32'h3fa3a585,32'h3faa5375, 32'h3f9ea310,32'h3faf55ea, 32'h3f9649a4,32'h3fb7af56,// invsqrt(0.5876) = 1.3046
32'h3f01ebbf,32'h3fb01528,32'h3fb7450a, 32'h3faab13e,32'h3fbca8f4, 32'h3fa1b563,32'h3fc5a4cf,// invsqrt(0.5075) = 1.4037
32'h3f46d486,32'h3f8e5607,32'h3f94254b, 32'h3f89fa94,32'h3f9880be, 32'h3f82b77e,32'h3f9fc3d4,// invsqrt(0.7767) = 1.1347
32'h3f07d2cb,32'h3fac36cf,32'h3fb33e46, 32'h3fa6f137,32'h3fb883df, 32'h3f9e27e4,32'h3fc14d33,// invsqrt(0.5306) = 1.3729
32'h3ec4401b,32'h3fca9cbe,32'h3fd2e1d5, 32'h3fc468ec,32'h3fd915a6, 32'h3fba128e,32'h3fe36c04,// invsqrt(0.3833) = 1.6152
32'h3f8926e7,32'h3f725d75,32'h3f7c41ec, 32'h3f6af21a,32'h3f81d6a3, 32'h3f5e9485,32'h3f88056e,// invsqrt(1.0715) = 0.9661
32'h3da2baf5,32'h405e80e4,32'h406795d4, 32'h4057b131,32'h406e6587, 32'h404c5706,32'h4079bfb2,// invsqrt(0.0795) = 3.5476
32'h3e2369c0,32'h401d0133,32'h402369bd, 32'h401832cc,32'h40283824, 32'h4010301f,32'h40303ad1,// invsqrt(0.1596) = 2.5033
32'h3e2822dd,32'h401ac8a5,32'h402119fb, 32'h40160ba6,32'h4025d6fa, 32'h400e25fb,32'h402dbca5,// invsqrt(0.1642) = 2.4679
32'h3ebdf87d,32'h3fcdef12,32'h3fd656de, 32'h3fc7a138,32'h3fdca4b8, 32'h3fbd1f79,32'h3fe72677,// invsqrt(0.3710) = 1.6417
32'h3ec5194d,32'h3fca2cfc,32'h3fd26d84, 32'h3fc3fc96,32'h3fd89dea, 32'h3fb9abed,32'h3fe2ee93,// invsqrt(0.3850) = 1.6117
32'h40325095,32'h3f164d1a,32'h3f1c6f98, 32'h3f11b33b,32'h3f210977, 32'h3f0a081d,32'h3f28b495,// invsqrt(2.7862) = 0.5991
32'h402f2932,32'h3f17a5f4,32'h3f1dd686, 32'h3f130187,32'h3f227af3, 32'h3f0b44d0,32'h3f2a37aa,// invsqrt(2.7369) = 0.6045
32'h3f56417a,32'h3f891dd4,32'h3f8eb68e, 32'h3f84eb48,32'h3f92e91a, 32'h3f7bd8bf,32'h3f99e803,// invsqrt(0.8369) = 1.0931
32'h3fa4b7eb,32'h3f5d2818,32'h3f662ef4, 32'h3f5662f2,32'h3f6cf41a, 32'h3f4b1a5f,32'h3f783cad,// invsqrt(1.2869) = 0.8815
32'h3fa01b12,32'h3f6051dd,32'h3f6979c7, 32'h3f5973ee,32'h3f7057b6, 32'h3f4e020a,32'h3f7bc99a,// invsqrt(1.2508) = 0.8941
32'h3f8876a4,32'h3f72f9c8,32'h3f7ce4a2, 32'h3f6b89a6,32'h3f822a62, 32'h3f5f2416,32'h3f885d2a,// invsqrt(1.0661) = 0.9685
32'h3d87385c,32'h40741716,32'h407e0d94, 32'h406c9e37,32'h4082c339, 32'h40602a19,32'h4088fd48,// invsqrt(0.0660) = 3.8917
32'h3ee8a0cb,32'h3fba18e5,32'h3fc1b16b, 32'h3fb46680,32'h3fc763d0, 32'h3faae7d7,32'h3fd0e279,// invsqrt(0.4544) = 1.4836
32'h3fe7bbf0,32'h3f3a74b3,32'h3f4210f9, 32'h3f34bf7e,32'h3f47c62e, 32'h3f2b3c27,32'h3f514985,// invsqrt(1.8104) = 0.7432
32'h3f8159b6,32'h3f799124,32'h3f81e06e, 32'h3f71ed5a,32'h3f85b253, 32'h3f6531b3,32'h3f8c1026,// invsqrt(1.0106) = 0.9948
32'h3ec50c73,32'h3fca3394,32'h3fd27460, 32'h3fc402fa,32'h3fd8a4fa, 32'h3fb9b1fb,32'h3fe2f5f9,// invsqrt(0.3849) = 1.6119
32'h409dcd39,32'h3ee1f396,32'h3eeb2c8d, 32'h3edb08de,32'h3ef21746, 32'h3ecf81aa,32'h3efd9e7a,// invsqrt(4.9313) = 0.4503
32'h3fd0ea2e,32'h3f446008,32'h3f4c63f3, 32'h3f3e5d17,32'h3f5266e3, 32'h3f345830,32'h3f5c6bca,// invsqrt(1.6321) = 0.7827
32'h3fefe5c5,32'h3f374187,32'h3f3ebc5d, 32'h3f31a566,32'h3f44587e, 32'h3f284bda,32'h3f4db20a,// invsqrt(1.8742) = 0.7305
32'h3f015ee2,32'h3fb074eb,32'h3fb7a8b5, 32'h3fab0e12,32'h3fbd0f8e, 32'h3fa20d55,32'h3fc6104b,// invsqrt(0.5054) = 1.4067
32'h4030515d,32'h3f172661,32'h3f1d51bd, 32'h3f1285db,32'h3f21f243, 32'h3f0acfa7,32'h3f29a877,// invsqrt(2.7550) = 0.6025
32'h3e74fe32,32'h40003a18,32'h400575ef, 32'h3ff89a6c,32'h400962d0, 32'h3feb84d2,32'h400fed9d,// invsqrt(0.2393) = 2.0444
32'h3fcccff9,32'h3f465501,32'h3f4e6d60, 32'h3f4042bb,32'h3f547fa7, 32'h3f362446,32'h3f5e9e1c,// invsqrt(1.6001) = 0.7905
32'h40a52177,32'h3edce15f,32'h3ee5e558, 32'h3ed61e63,32'h3eeca853, 32'h3ecad96c,32'h3ef7ed4b,// invsqrt(5.1603) = 0.4402
32'h3e14516e,32'h4024ccf9,32'h402b86f9, 32'h401fc179,32'h40309279, 32'h401758fa,32'h4038faf8,// invsqrt(0.1448) = 2.6276
32'h3fd5f1cd,32'h3f420d93,32'h3f49f93b, 32'h3f3c1cd5,32'h3f4fe9f9, 32'h3f323643,32'h3f59d08b,// invsqrt(1.6714) = 0.7735
32'h3f790bbd,32'h3f7e5bcb,32'h3f845eca, 32'h3f769274,32'h3f884376, 32'h3f699838,32'h3f8ec094,// invsqrt(0.9728) = 1.0139
32'h3f3218ee,32'h3f966493,32'h3f9c8807, 32'h3f91c9fc,32'h3fa1229e, 32'h3f8a1dac,32'h3fa8ceee,// invsqrt(0.6957) = 1.1989
32'h40292296,32'h3f1a5376,32'h3f20a002, 32'h3f159a0c,32'h3f25596c, 32'h3f0dba5c,32'h3f2d391c,// invsqrt(2.6427) = 0.6151
32'h3fa3e2a1,32'h3f5db7d3,32'h3f66c48d, 32'h3f56ee47,32'h3f6d8e19, 32'h3f4b9e5e,32'h3f78de02,// invsqrt(1.2804) = 0.8838
32'h40bc81a4,32'h3ecebb6c,32'h3ed72b90, 32'h3ec86751,32'h3edd7fab, 32'h3ebddb25,32'h3ee80bd7,// invsqrt(5.8908) = 0.4120
32'h3ea8d34f,32'h3fda7335,32'h3fe35dc9, 32'h3fd3c345,32'h3fea0db9, 32'h3fc89e0c,32'h3ff532f2,// invsqrt(0.3297) = 1.7415
32'h402d25f4,32'h3f1886ef,32'h3f1ec0af, 32'h3f13db9e,32'h3f236c00, 32'h3f0c136e,32'h3f2b3430,// invsqrt(2.7054) = 0.6080
32'h3e6178bc,32'h4005a9a4,32'h400b1e48, 32'h4001922a,32'h400f35c2, 32'h3ff580bb,32'h4016078f,// invsqrt(0.2202) = 2.1311
32'h3fd7e1ba,32'h3f412e2f,32'h3f4910b9, 32'h3f3b4448,32'h3f4efaa0, 32'h3f31691c,32'h3f58d5cc,// invsqrt(1.6866) = 0.7700
32'h3f3da1aa,32'h3f91bf55,32'h3f97b23f, 32'h3f8d4926,32'h3f9c286e, 32'h3f85d983,32'h3fa39811,// invsqrt(0.7407) = 1.1619
32'h3f0abe3c,32'h3faa6477,32'h3fb158e5, 32'h3fa52d25,32'h3fb69037, 32'h3f9c7b9d,32'h3fbf41bf,// invsqrt(0.5420) = 1.3584
32'h40504f57,32'h3f0b0f44,32'h3f10bc4c, 32'h3f06cd7e,32'h3f14fe12, 32'h3eff6a68,32'h3f1c165c,// invsqrt(3.2548) = 0.5543
32'h3fa0f7ee,32'h3f5fb7c4,32'h3f68d964, 32'h3f58de8d,32'h3f6fb29b, 32'h3f4d7485,32'h3f7b1ca3,// invsqrt(1.2576) = 0.8917
32'h3fdb2be4,32'h3f3fb9a2,32'h3f478cf8, 32'h3f39db23,32'h3f4d6b77, 32'h3f3012f8,32'h3f5733a2,// invsqrt(1.7123) = 0.7642
32'h3d060244,32'h40ad604a,32'h40b473e4, 32'h40a81196,32'h40b9c298, 32'h409f3915,32'h40c29b19,// invsqrt(0.0327) = 5.5286
32'h3f15abfd,32'h3fa40dbe,32'h3faabff0, 32'h3f9f0819,32'h3fafc595, 32'h3f96a95b,32'h3fb82453,// invsqrt(0.5847) = 1.3078
32'h40099e04,32'h3f2b1688,32'h3f32123a, 32'h3f25d9c3,32'h3f374eff, 32'h3f1d1f24,32'h3f40099e,// invsqrt(2.1503) = 0.6820
32'h3dcc21c0,32'h4046a992,32'h404ec564, 32'h404094b5,32'h4054da41, 32'h403671ef,32'h405efd07,// invsqrt(0.0997) = 3.1674
32'h3ff405e2,32'h3f35b347,32'h3f3d1ddd, 32'h3f302358,32'h3f42adcc, 32'h3f26de1d,32'h3f4bf307,// invsqrt(1.9064) = 0.7243
32'h3fea3713,32'h3f397737,32'h3f410924, 32'h3f33c9c4,32'h3f46b696, 32'h3f2a535c,32'h3f502cfe,// invsqrt(1.8298) = 0.7393
32'h3e89ba3e,32'h3ff1dbae,32'h3ffbbada, 32'h3fea744d,32'h4001911d, 32'h3fde1d57,32'h4007bc99,// invsqrt(0.2690) = 1.9281
32'h3fd065a5,32'h3f449e70,32'h3f4ca4e7, 32'h3f3e9996,32'h3f52a9c0, 32'h3f349180,32'h3f5cb1d6,// invsqrt(1.6281) = 0.7837
32'h3f8e0d61,32'h3f6e25e4,32'h3f77de4b, 32'h3f66db96,32'h3f7f2898, 32'h3f5ab515,32'h3f85a78d,// invsqrt(1.1098) = 0.9493
32'h4056a089,32'h3f08ff73,32'h3f0e96f0, 32'h3f04cdd6,32'h3f12c88e, 32'h3efba0f4,32'h3f19c5ea,// invsqrt(3.3535) = 0.5461
32'h3e3ccec9,32'h401210a3,32'h401806dd, 32'h400d97f6,32'h401c7f8a, 32'h4006242d,32'h4023f353,// invsqrt(0.1844) = 2.3288
32'h3fca1e53,32'h3f47a640,32'h3f4fcc62, 32'h3f4189a7,32'h3f55e8fb, 32'h3f3759fc,32'h3f6018a6,// invsqrt(1.5791) = 0.7958
32'h3fbdb78b,32'h3f4e124e,32'h3f567b8a, 32'h3f47c360,32'h3f5cca78, 32'h3f3d3fd4,32'h3f674e04,// invsqrt(1.4822) = 0.8214
32'h3b884536,32'h417325d6,32'h417d127b, 32'h416bb459,32'h418241fb, 32'h415f4c8a,32'h418875e3,// invsqrt(0.0042) = 15.5069
32'h3f950017,32'h3f688776,32'h3f720527, 32'h3f616930,32'h3f79236c, 32'h3f558c13,32'h3f828044,// invsqrt(1.1641) = 0.9269
32'h3f67c274,32'h3f83d643,32'h3f8937d3, 32'h3f7f9a2e,32'h3f8d40ff, 32'h3f722647,32'h3f93faf2,// invsqrt(0.9053) = 1.0510
32'h421170a4,32'h3e266c5c,32'h3e2d3750, 32'h3e215425,32'h3e324f87, 32'h3e18d674,32'h3e3acd38,// invsqrt(36.3600) = 0.1658
32'h3f11926a,32'h3fa6590d,32'h3fad2337, 32'h3fa1416d,32'h3fb23ad7, 32'h3f98c4b8,32'h3fbab78c,// invsqrt(0.5686) = 1.3261
32'h3f385ff4,32'h3f93cf7c,32'h3f99d7f4, 32'h3f8f4922,32'h3f9e5e4e, 32'h3f87be8c,32'h3fa5e8e4,// invsqrt(0.7202) = 1.1783
32'h3f990ecc,32'h3f656d25,32'h3f6eca6b, 32'h3f5e6731,32'h3f75d05f, 32'h3f52b29a,32'h3f80c27b,// invsqrt(1.1958) = 0.9145
32'h3eb658bf,32'h3fd231e3,32'h3fdac635, 32'h3fcbc2a5,32'h3fe13573, 32'h3fc1093e,32'h3febeeda,// invsqrt(0.3561) = 1.6757
32'h3da77e93,32'h405b50f7,32'h40644499, 32'h40549a3e,32'h406afb52, 32'h404969b4,32'h40762bdc,// invsqrt(0.0818) = 3.4968
32'h4076e1f4,32'h3eff7873,32'h3f04f2ed, 32'h3ef7a664,32'h3f08dbf4, 32'h3eea9da2,32'h3f0f6055,// invsqrt(3.8575) = 0.5091
32'h3fa92cd0,32'h3f5a3964,32'h3f63219c, 32'h3f538b3a,32'h3f69cfc6, 32'h3f4868f3,32'h3f74f20d,// invsqrt(1.3217) = 0.8698
32'h4027a908,32'h3f1b00d8,32'h3f215478, 32'h3f164220,32'h3f261330, 32'h3f0e5997,32'h3f2dfbb9,// invsqrt(2.6197) = 0.6178
32'h3f077625,32'h3fac71aa,32'h3fb37b87, 32'h3fa72a44,32'h3fb8c2ec, 32'h3f9e5def,32'h3fc18f41,// invsqrt(0.5291) = 1.3747
